Nome,total,percentual,popularidade
GILSON,144757,0.081,210
LUCIENE,144661,0.081,211
JOEL,144437,0.081,212
TAMIRES,143707,0.08,213
ROBERTA,143553,0.08,214
TATIANA,142916,0.08,215
ELZA,141601,0.079,216
TALITA,141042,0.079,217
SILVIO,141010,0.079,218
MARCELA,140391,0.078,219
PAMELA,138571,0.077,220
HELIO,137525,0.077,221
IRENE,137496,0.077,222
VANIA,137402,0.077,223
JOSIANE,136856,0.076,224
LIVIA,136409,0.076,225
MAICON,135127,0.075,226
REINALDO,134336,0.075,227
PABLO,133420,0.074,228
ARTUR,132947,0.074,229
VAGNER,132598,0.074,230
IVONE,132064,0.074,231
CINTIA,131925,0.074,232
VALTER,131448,0.073,233
LAIS,131361,0.073,234
IVAN,131234,0.073,235
CELSO,131186,0.073,236
TAINA,130242,0.073,237
CLEITON,129473,0.072,238
BENEDITA,128850,0.072,239
SEBASTIANA,128769,0.072,240
JOICE,128046,0.071,241
VANDERLEI,127559,0.071,242
ARTHUR,126774,0.071,243
MIRIAN,126703,0.071,244
VICENTE,126329,0.07,245
MILTON,125935,0.07,246
DOMINGOS,125581,0.07,247
SANDRO,125411,0.07,248
WAGNER,125368,0.07,249
MOISES,125244,0.07,250
GABRIELE,124741,0.07,251
EDILSON,124272,0.069,252
ELIZABETE,123879,0.069,253
ADEMIR,123618,0.069,254
ANGELICA,123609,0.069,255
ADAO,122274,0.068,256
BRENDA,121235,0.068,257
EVANDRO,121093,0.068,258
VERONICA,119827,0.067,259
CESAR,118934,0.066,260
KARINA,117865,0.066,261
ROSILENE,117775,0.066,262
NAIR,116661,0.065,263
VALMIR,116623,0.065,264
MURILO,115785,0.065,265
JULIANO,115736,0.065,266
NEUSA,115072,0.064,267
MARGARIDA,115031,0.064,268
NEUZA,114803,0.064,269
EDVALDO,114631,0.064,270
NEIDE,113728,0.063,271
AILTON,113702,0.063,272
RAISSA,113621,0.063,273
JUNIOR,112652,0.063,274
MAIARA,112598,0.063,275
BRENO,112597,0.063,276
NICOLAS,112589,0.063,277
FRANCIELE,112465,0.063,278
LORENA,112310,0.063,279
SAMARA,110498,0.062,280
RUAN,109537,0.061,281
LILIAN,109075,0.061,282
JANETE,108731,0.061,283
CICERA,108658,0.061,284
ALBERTO,108359,0.06,285
GIOVANA,107324,0.06,286
SEVERINA,106391,0.059,287
CLEIDE,106373,0.059,288
LARA,106106,0.059,289
NICOLE,105793,0.059,290
RUBENS,105702,0.059,291
AUGUSTO,105177,0.059,292
NILTON,105128,0.059,293
CECILIA,104497,0.058,294
YASMIN,104242,0.058,295
CONCEICAO,104122,0.058,296
